category_en,avg_review_score,total_orders
office_furniture,3.493738819320215,1273
fashion_male_clothing,3.6384615384615384,112
fixed_telephony,3.683206106870229,217
,3.831578947368421,1473
audio,3.8333333333333335,350
home_confort,3.8429561200923787,397
construction_tools_safety,3.844559585492228,167
bed_bath_table,3.8983932809932447,9417
furniture_living_room,3.898580121703854,422
furniture_decor,3.9136734445391452,6449
computers_accessories,3.937226089198247,6689
home_construction,3.9379194630872485,490
telephony,3.9463176574977816,4199
fashion_underwear_beach,3.951219512195122,121
art,3.9514563106796117,202
air_conditioning,3.958477508650519,253
agro_industry_and_commerce,4.0,182
kitchen_dining_laundry_garden_furniture,4.007246376811594,248
baby,4.011202635914333,2885
watches_gifts,4.019531907728574,5624
christmas_supplies,4.02054794520548,128
market_place,4.022875816993464,280
consoles_games,4.02491103202847,1062
drinks,4.037533512064343,297
electronics,4.03932993445011,2550
garden_tools,4.042129629629629,3518
costruction_tools_garden,4.046218487394958,194
construction_tools_lights,4.0508474576271185,244
construction_tools_construction,4.055374592833876,748
housewares,4.056874095513749,5884
auto,4.065201815142107,3897
signaling_and_security,4.076923076923077,140
dvds_blu_ray,4.079365079365079,59
industry_commerce_and_business,4.09469696969697,235
furniture_bedroom,4.102803738317757,95
sports_leisure,4.10978603998597,7720
tablets_printing_image,4.1234567901234565,79
home_appliances_2,4.132478632478633,234
health_beauty,4.141946273649002,8836
fashion_bags_accessories,4.147704590818363,1864
cool_stuff,4.148020196651608,3632
small_appliances,4.149629629629629,630
musical_instruments,4.1513353115727005,628
toys,4.158644400785855,3886
perfumery,4.163391023760633,3162
computers,4.175,181
home_appliances,4.175765645805592,764
pet_shop,4.183979328165375,1710
stationery,4.1958350020024024,2311
cine_photo,4.205479452054795,65
food,4.23469387755102,450
fashion_shoes,4.25390625,240
small_appliances_home_oven_and_coffee,4.302631578947368,75
food_drink,4.310218978102189,227
luggage_accessories,4.313996316758748,1034
books_technical,4.361216730038023,260
books_imported,4.4,53
costruction_tools_tools,4.444444444444445,97
books_general_interest,4.446265938069216,512
